x,y,sensor_value,acc_weight,acc_weight_reading,confidence,acc_variance,variance
850.0,1100.0,0.18,2.903752757551634e-05,1.658778878659858e-06,0.9999999519830894,4.094519134965411e-09,0.0
800.0,1150.0,0.17,2.8533784009382944e-05,1.5813473385524705e-06,0.999999914272873,2.116313716514738e-09,0.0
750.0,1250.0,0.17,2.342264057117959e-05,1.3005163193029647e-06,0.9999826980806489,1.035018053189566e-09,0.0
850.0,1400.0,0.16,1.6865283362873546e-05,9.220910519570553e-07,0.9966026480802139,1.677097307395404e-09,0.0
1050.0,1350.0,0.25,2.1292649484389236e-05,1.5344960882758745e-06,0.9998839126928796,1.1097033743922517e-08,0.0
1250.0,1350.0,0.29,2.4877947524945098e-05,2.020145361183563e-06,0.9999957540674077,1.7635359741019323e-08,0.01
1200.0,1250.0,0.37,2.9241158104633745e-05,2.8634410413202328e-06,0.9999999621218811,2.9730504959050488e-08,0.01
1200.0,1150.0,0.43,3.055985760550191e-05,3.4400704025172643e-06,0.9999999921674332,4.186572996632583e-08,0.01
1200.0,1050.0,0.48,3.1039616173912483e-05,3.7830740747588725e-06,0.9999999956609822,5.3326807085925146e-08,0.01
1200.0,950.0,0.52,3.22953057878022e-05,4.206515981888512e-06,0.9999999991146875,6.676634113524865e-08,0.02
1200.0,850.0,0.55,3.429237363173987e-05,4.750611878795e-06,0.9999999999379334,8.153593312398803e-08,0.02
1150.0,750.0,0.53,3.391739977848026e-05,4.502459944341125e-06,0.9999999998965193,7.399956122450746e-08,0.02
1150.0,650.0,0.44,3.475372845042334e-05,3.954624482421453e-06,0.9999999999671629,6.408130274286607e-08,0.02
1150.0,550.0,0.31,3.425816256243312e-05,2.9479227695551794e-06,0.9999999999349551,4.5363934575282755e-08,0.01
1150.0,450.0,0.2,3.309337507025867e-05,2.0440391691864827e-06,0.9999999996880072,2.7531525740276927e-08,0.01
1100.0,350.0,0.13,3.3499354295858086e-05,1.5636323392439265e-06,0.9999999998182459,1.2647620825187625e-08,0.0
1100.0,250.0,0.09,3.2471823384681794e-05,1.2833308164080065e-06,0.9999999992955266,6.315998837966591e-09,0.0
1150.0,150.0,0.07,2.830366277274102e-05,9.744591162916477e-07,0.9999998886614456,2.9866828387317147e-09,0.0
1100.0,50.0,0.07,2.2992934779067313e-05,7.838638438484515e-07,0.999974224149604,1.442867390124929e-09,0.0
1300.0,0.0,0.05,1.9564912207476135e-05,5.677621489696866e-07,0.999524116383599,7.099278127739635e-10,0.0
1550.0,0.0,0.02,3.577911647102534e-05,8.455972395075146e-07,0.9999999999922623,1.945274691820939e-09,0.0
1550.0,100.0,0.02,4.580731257596367e-05,1.059690375719112e-06,1.0,5.214817469821762e-09,0.0
1500.0,250.0,0.03,4.529001035029008e-05,1.1322276545103531e-06,1.0,2.546109901784334e-08,0.0
1500.0,350.0,0.05,4.678282871551443e-05,1.4036813158410752e-06,1.0,8.237567767774682e-08,0.01
1450.0,450.0,0.13,4.2296758179251955e-05,1.9794615535706635e-06,0.9999999999999997,1.517725113403569e-07,0.03
1450.0,550.0,0.27,4.4138882990231574e-05,3.4102739141288166e-06,1.0,3.1955857249356297e-07,0.06
1400.0,650.0,0.45,4.2391093893552893e-05,4.897870479376539e-06,0.9999999999999998,3.2074811778174074e-07,0.06
1400.0,750.0,0.58,4.308021413646823e-05,6.23200603917468e-06,0.9999999999999999,3.9119945250272356e-07,0.08
1450.0,800.0,0.65,4.582749910671626e-05,7.315524034075762e-06,1.0,6.778487340791039e-07,0.12
1500.0,900.0,0.64,4.8969820918113196e-05,7.643638485655881e-06,1.0,8.978999355218288e-07,0.15
1500.0,1050.0,0.4,4.4443862189868546e-05,4.709047363367436e-06,1.0,3.3774247498963696e-07,0.06
1500.0,1300.0,0.19,3.6941900887301205e-05,2.20149806401399e-06,0.9999999999985723,2.58979244646149e-08,0.01
1450.0,1400.0,0.18,2.791671741003993e-05,1.6455628485612043e-06,0.9999998280241197,8.689113622747765e-09,0.0
1650.0,1450.0,0.12,3.4093299023757456e-05,1.5070366155465009e-06,0.9999999999185253,8.049394015586787e-09,0.0
1650.0,1500.0,0.12,2.7563749597412615e-05,1.240235442452779e-06,0.999999745643848,5.132225487082371e-09,0.0
1650.0,1300.0,0.11,4.99136309552673e-05,2.1838108834867944e-06,1.0,4.083262520706432e-08,0.01
1650.0,1150.0,0.18,6.0472763630117676e-05,3.5292711763310542e-06,1.0,2.8907310825543176e-07,0.04
1650.0,1050.0,0.33,6.480360316986385e-05,5.796699737716089e-06,1.0,9.124486996360943e-07,0.12
1650.0,950.0,0.58,6.588679509133899e-05,9.430926708065999e-06,1.0,2.121605263591028e-06,0.27
1650.0,850.0,0.82,6.486864483381248e-05,1.2753039539054537e-05,1.0,3.422288592269509e-06,0.44
1650.0,700.0,0.74,6.484532300350646e-05,1.162132735775405e-05,1.0,3.4369127617819043e-06,0.44
